,question,answer,answer_relevancy,faithfulness
0,What are the top 5 deadliest natural disasters in recorded history?,"# Top 5 Deadliest Natural Disasters in the Data

Based on the disaster data provided, the top 5 dead",0.826,0.25
1,How many earthquake events occurred in Japan between 1970 and 2021?,"# Earthquake Events in Japan (1970-2021)

Based on the disaster data provided, **3 earthquake events",0.799,0.25
2,Which countries suffered the most deaths from floods in the last 50 years?,"# Floods in the Last 50 Years

Based on the disaster data provided, **there are no flood events reco",0.81,0.5
3,What is the average damage cost of a tropical cyclone?,"# Average Damage Cost of Tropical Cyclones

Based on the disaster data provided, **I cannot determin",0.61,1
4,Which decade had the most natural disaster events recorded globally?,"Based on the disaster data provided, I cannot answer which decade had the most natural disaster even",0.788,0.25
5,How many people were affected by the 2004 Indian Ocean tsunami?,"Based on the disaster data provided, there are no events in the query results, so I cannot provide a",0.745,0.25
6,What types of natural disasters cause the most economic damage globally?,"# Answer

Based on the disaster data provided, I cannot accurately answer your question about which ",0.767,0.5
7,Which disaster type has the highest mortality rate across all records?,"# Disaster Type with Highest Mortality Rate

Based on the data provided, **Floods** have the highest",0.841,0.25
8,How has the frequency of recorded disasters changed from 1900 to 2021?,"Based on the disaster data provided, I cannot answer your question about how the frequency of record",0.774,0.25
9,What is the total number of disaster records in the EM-DAT database?,"Based on the disaster data summary provided, I cannot answer the question about the total number of ",0.804,0.25
10,Which regions are most vulnerable to multiple disaster types?,"# Regional Vulnerability to Multiple Disaster Types

Based on the disaster data provided, **Nationwi",0.742,0.5
11,How many people have been made homeless by disasters since 1970?,"Based on the disaster data provided, I cannot answer this question. The query returned zero events, ",0.764,0.25
